entity,target_entity,relation,invert_relation
Livingbridge,TPG Capital,acquired_by,1
Revera Inc.,Toronto Stock Exchange,traded_on,0
Archer Capital,Rebel Sport Limited,acquired_by,1
Blacks Outdoor Retail Ltd.,JD Sports Fashion plc,subsidiary_of,0
"ThoughtSpot, Inc.",Khosla Ventures,undefined,0
SeedInvest,Gust,collaboration,0
Broadway Video,Man Seeking Woman,product_or_service_of,1
Alfred,Bixby,acquired_by,1
Dovetail,Accel,undefined,0
GSO Capital Partners,"Donaldson, Lufkin & Jenrette",undefined,0
Hawker de Havilland,Commonwealth Aircraft Corporation,acquired_by,1
"XebiaLabs, Inc.",T-Mobile,client_of,1
"Phase 4 Films, Inc.",The Legend of Sarila,product_or_service_of,1
Radio Rentals,Thorn EMI,subsidiary_of,0
Altiostar,Cisco,undefined,0
Grenke AG,Frankfurt Stock Exchange,traded_on,0
KNB EFX Group,Intruder,product_or_service_of,1
Heinz Wattie's Limited,Oak,brand_of,1
Irish North Western Railway,Ulster Railway,merged_with,0
Berkeley SkyDeck,Sierra Ventures,undefined,0
EnServe Group Limited,London Stock Exchange,traded_on,0
iXL,Avenue A,merged_with,0
"RBC Bank , N.A.",Alabama National BanCorporation,acquired_by,1
My Broadcasting Corporation,CKOB,undefined,0
Glenn L. Martin Company,American-Marietta Corporation,merged_with,0
Media 8 Entertainment,Malofilm,undefined,0
Heartland RVs,Mallard,brand_of,1
Riverside Insights,Houghton Mifflin Harcourt,subsidiary_of,0
"Addepar, Inc.",Orion,competitor_of,0
Verizon,West Central Wireless,collaboration,0
WingTips Airport Services,Servisair,competitor_of,0
Metagaming Concepts,Ogre,product_or_service_of,1
"Associated Production Music, LLC",The Big One,product_or_service_of,1
Wolfe Video,The Wise Kids,product_or_service_of,1
Teachers Life Insurance Society,Office of the Superintendent of Financial Institutions,regulated_by,0
True North Productions,Channel 4,client_of,1
Opportunity Network,Vietinbank,collaboration,0
Leica Biosystems,Danaher Corporation,subsidiary_of,0
Sky Studios,Punchdrunk International,collaboration,0
Miracle Mart,Zellers,competitor_of,0
Kabam Inc.,Alibaba,shareholder_of,1
Cassa Padana,ChiantiBanca,competitor_of,0
Blizzard,Tespa,collaboration,0
Insignia Films,Seabiscuit,product_or_service_of,1
PT CT Corpora,Jakarta Stock Exchange,traded_on,0
DZS,Optelian Access Networks Corporation,acquired_by,1
TestComplete,AutomatedQA Corp.,product_or_service_of,0
Fluidmesh Networks,Pelco,collaboration,0
Sphinx,LumenVox,product_or_service_of,0
American Fletcher National Bank and Trust Company,INB Financial Corporation,competitor_of,0
Brigham's Ice Cream,HP Hood,acquired_by,0
Whip Media,HBO,client_of,1
Publishing and Broadcasting Ltd,GTV-9,acquired_by,1
Ciné-Asie Creatives,My Dear Enemy,undefined,0
Rizzoli Bookstore,Columbia,undefined,0
Avanti,Strada,product_or_service_of,1
Butterfly,Duncan Toys,product_or_service_of,0
Scranton Button Company,Cameo Records,merged_with,0
GroupLogic,Acronis,subsidiary_of,0
Meadville Corporation,Merit,brand_of,1
Four Square,Friendly Grocer,brand_of,1
Union Bank of Switzerland,Phillips & Drew,acquired_by,1
Baseline Ventures,OMGPop,shareholder_of,0
Language Studies International LSI,ESL,product_or_service_of,0
CBS,Smoke Signal Broadcasting,undefined,0
Nyfors Teknologi AB,Alcatel,collaboration,0
Montgomery Elevator,KONE,acquired_by,0
Greenstone TV,CJZ,acquired_by,0
Perry Engineering,Ford,client_of,1
Jet.com,Amazon,undefined,0
Clerkenwell Films,E4,client_of,1
Nervures,Altea,product_or_service_of,1
Cynet,Norwest Venture Partners,shareholder_of,1
Charter International plc,Colfax Corporation,acquired_by,0
Yeti Cycles,Volant,acquired_by,0
Rogers Cable Inc.,Mountain Cablevision,undefined,0
Kramers,Square Books,undefined,0
MidOcean Partners,Deutsche Bank,undefined,0
Kordia,Orcon Limited,acquired_by,1
CaptionMax,Department of Education,undefined,0
Marmayogi,Pyramid Saimira,undefined,0
"Uncooked, Inc.",MTV Video Music Awards,undefined,0
Tynesoft Computer Software,First Star Software,undefined,0
Christopher Ward  Limited,Bluebird,collaboration,0
Pink Gorilla LLC,Atari 2600,undefined,0
Klima,Verified Carbon Standard,undefined,0
Headline Pictures,The Man in the High Castle,product_or_service_of,0
"VidAmerica, Inc.",Some Like It Hot,product_or_service_of,0
PlumChoice,Allstate,acquired_by,0
Piperlime,Project Runway,collaboration,0
Ascend Communications,Demon Internet,client_of,1
Adams,TaylorMade,acquired_by,0
VF Corporation,Altra Running,acquired_by,1
Deutsche Bank,dbFX,product_or_service_of,0
Cinédia,Limite,product_or_service_of,0
Lamprell plc,London Stock Exchange,traded_on,0
"AltJapan Co, Ltd.",Doraemon,product_or_service_of,0
Morrison Management Specialists,Loyola University New Orleans,client_of,1
Rajshri Media,Dosti,product_or_service_of,0
Helog,Mercy Corps,collaboration,0
SOSV,Carma,shareholder_of,0
Venture Production Ltd,FTSE 250 Index,traded_on,0
Unilog Content Solutions,Fisher Scientific,client_of,1
Four Star Television,Desilu Productions,undefined,0
Kendall and Sons Limited,Next,brand_of,1
Farmers' Bank of Delaware,Girard Bank,acquired_by,0
Global Gaming Factory X,The Pirate Bay,acquired_by,1
Shopping.com,Amazon,competitor_of,0
"Bowery Farming, Inc.",GGV Capital,shareholder_of,1
EQAL,lonelygirl15,product_or_service_of,0
Guardian Capital Group,Toronto Stock Exchange,traded_on,0
Max Group,Hutchison Asia Telecom Group,collaboration,0
Innovation Publishing,The Light Fantastic,product_or_service_of,0
Red Digital Cinema,Leia Inc.,collaboration,0
"Nuance Communications, Inc.","MacSpeech, Inc.",acquired_by,1
Clark Boat Company,San Juan 24,product_or_service_of,0
Central Point Software,Norton Utilities,competitor_of,0
"Kavapoint, Inc.",iPhone,product_or_service_of,0
"Berkery, Noyes & Co., LLC",McGraw-Hill,undefined,0
Belgrave Trust,TerraPass,competitor_of,0
Planview,Projectplace,acquired_by,1
Fevertree Drinks plc,London Stock Exchange,traded_on,0
CPL Aromas,London Stock Exchange,traded_on,0
Paradigm Talent Agency,Genesis,acquired_by,1
Farm Credit Canada,Parliament of Canada,regulated_by,0
Société de Construction des Batignolles,SPIE,merged_with,0
Dancing Diablo,Teenage Mutant Ninja Turtles,collaboration,0
Ocean Productions,Central Park Media,client_of,1
Floors-2-Go,London Stock Exchange,traded_on,0
Shopa Docket,Woolworths Supermarkets,product_or_service_of,0
EBSCO Information Services,ByWater Solutions LLC,collaboration,0
In Films,Borderland,product_or_service_of,0
C&S Wholesale Grocers,Met Foodmarkets,brand_of,0
PonoPlayer,Ayre Acoustics,collaboration,0
Fishman,Fender Musical Instruments Corporation,product_or_service_of,0
Harbert Management Corporation,Falcone,competitor_of,0
URI Purposely Built Vehicles PTY LTD,Toyota,undefined,0
Topper,San Isidro,collaboration,0
Granite Ventures,HyTrust,shareholder_of,0
Central Michigan University,MediaSentry,undefined,0
Merchants National Corporation,National City Corporation,acquired_by,0
PlanetSpace,Canadian Arrow,undefined,0
Twenga,Android,product_or_service_of,0
"Zumobi, Inc",BlackBerry,undefined,0
Spotlight Group Holdings,Big W,competitor_of,0
"Gun Media Holdings, Inc.",PlayStation 4,product_or_service_of,0
"Regent, L.P.",Pegasus Solutions,acquired_by,1
Quayle Munro,Scottish Enterprise,undefined,0
MIT Media Lab,"Groundhog Technologies, Inc.",undefined,0
Central Studios,Haridas,undefined,0
Guglielmo Caffè S.p.A.,Fiat 1100,undefined,0
RAK Ceramics P.J.S.C,Abu Dhabi Securities Exchange,traded_on,0
Banco di Sicilia,Banco di Napoli,undefined,0
"SISCOG - Sistemas Cognitivos, SA",Norwegian State Railways,client_of,1
"Where, Inc.",MapQuest,collaboration,0
